School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
ALPAUGH -SENIOR HIGH,Alpaugh Unified,602010,6107,,,120,,6,,,,10.51,11.99
ALPAUGH ELEMENTARY,Alpaugh Unified,602010,6107,1,4,191,,16,,1,,10.5,20.29
ALPHA CHARTER,Elverta Joint Elementary,612600,6067,1,2,16,12,7,1,11,,0.6,83.33
ALPHA CINDY AVITIA HIGH,East Side Union High,611820,6085,1,23,263,0,2,0,4,,14.3,20.49
ALPHA ELEMENTARY,Madera Unified,623340,6039,1,6,696,17,44,,3,,28.5,26.91
ALPHA TECHNOLOGY MIDDLE,Elverta Joint Elementary,612600,6067,3,3,28,8,34,,8,,4.2,20
ALPHA: BLANCA ALVARADO MIDDLE,Alum Rock Union Elementary,602310,6085,,25,343,2,3,1,34,,12,34
ALPHA: CORNERSTONE ACADEMY PREPARATORY,Franklin-McKinley Elementary,614370,6085,,269,161,9,1,,11,,16,28.19
ALPHA: JOSE HERNANDEZ,Santa Clara County Office of Education,691035,6085,,27,407,2,1,,10,,15,29.8
ALPINE COUNTY OPPORTUNITY,Alpine County Office of Education,691058,6003,2,0,0,0,0,0,0,,1,2
ALPINE COUNTY SECONDARY COMMUNITY DAY,Alpine County Unified,602070,6003,0,0,0,0,0,0,0,,,
ALPINE ELEMENTARY,Keppel Union Elementary,619440,6037,4,,383,17,59,,6,,20.64,22.72
ALPINE ELEMENTARY,Alpine Union Elementary,602100,6073,21,4,62,3,160,2,8,,10,26
ALPINE VISTA,Tulare City,639870,6107,2,33,762,31,370,4,11,,48.17,25.18
ALPS VIEW HIGH (CONTINUATION),Trinity Alps Unified,601331,6105,1,0,0,0,1,0,1,,0.65,4.62
ALTA CALIFORNIA ELEMENTARY,Los Angeles Unified,622710,6037,,14,732,7,10,,1,,33,23.15
ALTA ELEMENTARY,Kings Canyon Joint Unified,619700,6019,,3,337,,14,,4,,14,25.57
ALTA HEIGHTS ELEMENTARY,Napa Valley Unified,626640,6055,1,3,148,1,187,,24,,15.4,23.64
ALTA LOMA ELEMENTARY,Los Angeles Unified,622710,6037,,2,465,55,20,,3,,24,22.71
ALTA LOMA ELEMENTARY,Alta Loma Elementary,602160,6071,3,24,289,38,143,4,1,,19,26.42
ALTA LOMA HIGH,Chaffey Joint Union High,608160,6071,15,121,1358,183,794,17,43,,101.45,24.95
ALTA LOMA JUNIOR HIGH,Alta Loma Elementary,602160,6071,1,40,267,30,335,4,4,,27.08,25.15
ALTA LOMA MIDDLE,South San Francisco Unified,637530,6081,1,262,275,9,69,19,52,,32.2,21.34
ALTA MESA ELEMENTARY,Enterprise Elementary,612810,6089,5,20,61,4,146,,47,,13,21.77
ALTA MURRIETA ELEMENTARY,Murrieta Valley Unified,600029,6065,3,62,352,21,306,5,61,,30.5,26.56
ALTA SIERRA ELEMENTARY,Pleasant Ridge Union Elementary,630930,6057,1,3,15,,275,1,9,,16,19
ALTA SIERRA INTERMEDIATE,Clovis Unified,609030,6019,5,178,431,26,711,2,53,,56.34,24.96
ALTA VISTA ACADEMY,Sweetwater Union High,638640,6073,1,1,18,5,13,1,2,,8.11,5.06
ALTA VISTA ALTERNATIVE HIGH,Santa Barbara Unified,601414,6083,1,4,62,2,70,1,2,,2.2,64.55
ALTA VISTA ALTERNATIVE JUNIOR HIGH,Santa Barbara Unified,601414,6083,0,0,1,0,0,0,0,,1,1
ALTA VISTA COMMUNITY CHARTER,Auburn Union Elementary,603480,6061,1,1,13,1,111,1,10,,5.5,25.09
ALTA VISTA ELEMENTARY,Alta Vista Elementary,602220,6107,4,5,449,,76,19,2,,26,21.35
ALTA VISTA ELEMENTARY,Union Elementary,640320,6085,2,150,56,2,362,2,68,,27,23.78
ALTA VISTA ELEMENTARY,Redondo Beach Unified,600032,6037,,81,141,21,342,,97,,28,24.36
ALTA VISTA HIGH,Mountain View-Los Altos Union High,626310,6085,,3,57,4,14,3,1,,7.5,10.93
ALTA VISTA HIGH (CONTINUATION),Vista Unified,641190,6073,2,0,141,2,11,2,2,,13.5,11.85
ALTA VISTA PUBLIC,Adelanto Elementary,601710,6071,3,10,901,272,295,7,90,,58.82,26.83
ALTA VISTA SOUTH PUBLIC CHARTER,Helendale Elementary,616860,6071,5,5,438,51,67,4,22,,30.89,19.16
ALTA-DUTCH FLAT ELEMENTARY,Alta-Dutch Flat Union Elementary,602250,6061,1,1,6,,91,,5,,4.5,23.11
ALTADENA ELEMENTARY,Pasadena Unified,629940,6037,2,2,158,72,12,,10,,10,25.6
ALTAMONT CREEK ELEMENTARY,Livermore Valley Joint Unified,622110,6001,3,74,122,9,291,2,50,,23.6,23.35
ALTAMONT ELEMENTARY,Lammersville Joint Unified,601410,6077,4,353,146,37,156,9,81,,31.5,24.95
ALTERNATIVE COOPERATIVE EDUCATION CHARTER,Vacaville Unified,640590,6095,,,25,4,84,,11,,4.6,26.96
ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,Irvine Unified,684500,6059,,16,6,2,27,1,7,,6.66,8.86
ALTERNATIVE FAMILY EDUCATION,Santa Cruz City High,635600,6087,,5,8,1,139,,8,,5.5,29.27
ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO HIGH,New Haven Unified,626910,6001,,1,5,3,3,,,,1,12
ALTERNATIVE LEARNING CENTER,San Bernardino City Unified,634170,6071,0,0,20,4,5,0,0,,3,9.67
ALTERNATIVE OPPORTUNITY PROGRAMS,Los Angeles County Office of Education,691078,6037,0,0,47,5,1,0,0,,,
ALTERNATIVES IN ACTION,Alameda Unified,601770,6001,1,,159,10,1,,,,10.8,15.83
ALTIMIRA MIDDLE,Sonoma Valley Unified,637200,6097,4,15,358,1,139,,3,,27.4,18.98
ALTURAS ELEMENTARY,Modoc Joint Unified,625190,6049,29,8,54,5,279,,16,,19.86,19.69
ALVARADO ELEMENTARY,Long Beach Unified,622500,6037,2,131,194,37,21,6,21,,16.4,25.12
ALVARADO ELEMENTARY,New Haven Unified,626910,6001,3,461,198,37,42,12,47,,33,24.24
ALVARADO ELEMENTARY,San Francisco Unified,634410,6075,2,16,235,10,198,1,56,,21.33,24.29
ALVARADO INTERMEDIATE,Rowland Unified,633750,6037,,342,353,8,28,3,15,,29.8,25.13
ALVIEW ELEMENTARY,Alview-Dairyland Union Elementary,602360,6039,1,5,98,,73,,,,8,22.13
ALVIN ELEMENTARY,Santa Maria-Bonita,605580,6083,1,9,981,4,30,,,,37.5,27.33
ALVIN S. HATCH ELEMENTARY,Cabrillo Unified,606780,6081,,14,345,,238,,25,,25,24.88
ALVINA ELEMENTARY CHARTER,Alvina Elementary,602370,6019,2,1,154,,24,1,,,10,18.2
ALVORD ALTERNATIVE CONTINUATION HIGH,Alvord Unified,602430,6065,0,0,113,3,5,0,0,,7,17.29
ALVORD CONTINUATION HIGH,Alvord Unified,602430,6065,0,1,105,6,12,3,2,,9.84,13.11
AMADOR COUNTY ROP,Amador County ROP,600089,6005,0,0,0,0,0,0,0,,,
AMADOR COUNTY SPECIAL EDUCATION,Amador County Office of Education,691001,6005,8,,43,,88,,13,,24.05,6.32
AMADOR HIGH,Amador County Unified,602450,6005,14,8,117,1,476,1,51,,27.22,24.54
AMADOR VALLEY HIGH,Pleasanton Unified,600020,6001,7,985,252,40,1288,5,71,,111.23,23.81
AMANECER PRIMARY CENTER,Los Angeles Unified,622710,6037,1,,193,,3,,,,9,21.89
AMARGOSA CREEK MIDDLE,Lancaster Elementary,620880,6037,5,43,492,260,172,2,28,,45.64,21.95
AMBASSADOR PHILLIP V. SANCHEZ PUBLIC CHARTER,Raisin City Elementary,631680,6019,4,17,311,43,32,0,14,,14.25,29.54
AMBASSADOR SCHOOL-GLOBAL EDUCATION,Los Angeles Unified,622710,6037,,69,257,8,32,1,8,,19,19.74
AMBASSADOR-GLOBAL LEADERSHIP,Los Angeles Unified,622710,6037,2,114,485,14,11,1,3,,31.33,20.11
AMBLER AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,8,84,446,5,1,2,,23,23.74
AMELIA EARHART CONTINUATION,Los Angeles Unified,622710,6037,,,75,3,3,,,,5,16.2
AMELIA EARHART ELEMENTARY,Alameda Unified,601770,6001,1,243,86,18,152,1,109,,24.2,25.21
AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,Desert Sands Unified,611110,6065,5,49,537,7,304,1,50,,36,26.47
AMELIA EARHART MIDDLE,Riverside Unified,633150,6065,2,89,363,88,386,8,87,,39,26.23
AMERICA'S FINEST CHARTER,San Diego Unified,634320,6073,,23,241,109,15,,2,,17,22.94
AMERICAN CANYON HIGH,Napa Valley Unified,626640,6055,3,531,558,147,193,15,98,,73.4,21.05
AMERICAN CANYON MIDDLE,Napa Valley Unified,626640,6055,5,340,406,80,139,9,71,,48.36,21.71
AMERICAN ELEMENTARY,Rosedale Union Elementary,633480,6029,,56,268,12,341,,70,,33,22.64
AMERICAN HIGH,Fremont Unified,614400,6001,5,1497,218,86,313,18,63,,90.19,24.39
AMERICAN INDIAN PUBLIC CHARTER,Oakland Unified,628050,6001,0,79,23,33,8,1,0,,6.61,21.79
AMERICAN INDIAN PUBLIC CHARTER II,Oakland Unified,628050,6001,3,392,73,155,13,,8,,26.66,24.16
AMERICAN INDIAN PUBLIC HIGH,Oakland Unified,628050,6001,,154,46,48,8,,4,,13.4,19.4
AMERICAN LAKES,Natomas Unified,600036,6067,5,30,191,134,41,8,42,,22,20.5
AMERICAN LEGION HIGH (CONTINUATION),Sacramento City Unified,633840,6067,2,12,146,80,15,8,17,,13.31,21.04
AMERICAN RIVER CHARTER,Black Oak Mine Unified,605240,6017,3,2,13,2,156,,1,,6.92,25.58
AMERICAN UNION ELEMENTARY,Washington Unified,601415,6019,,13,244,5,65,,3,,17,19.41
AMESTI ELEMENTARY,Pajaro Valley Unified,629490,6087,1,9,588,1,14,,,,26,23.58
AMESTOY ELEMENTARY,Los Angeles Unified,622710,6037,,48,563,134,14,5,24,,33,23.88
AMISTAD HIGH (CONTINUATION),Desert Sands Unified,611110,6065,1,0,204,4,14,0,4,,18.3,12.4
AMY B. SEIBERT ELEMENTARY,Panama-Buena Vista Union,606390,6029,2,20,481,105,92,3,14,,27.53,26.04
ANACAPA MIDDLE,Ventura Unified,640980,6111,1,33,571,8,263,4,42,,35.18,26.21
ANAHEIM HIGH,Anaheim Union High,602630,6059,6,72,2902,21,67,5,4,,117.89,26.1
ANAHEIM HILLS ELEMENTARY,Orange Unified,628650,6059,1,119,78,11,232,,53,,17,29.06
ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,SBE - Anahuacalmecac International Univ Prep of N. America,601430,6037,2,,363,2,1,,6,,16.75,22.33
ANALY HIGH,West Sonoma County Union High,602670,6097,7,51,219,10,871,2,40,,54.2,22.14
ANATOLA AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,1,28,383,15,40,1,6,,23,20.61
ANAVERDE HILLS,Westside Union Elementary,642120,6037,4,37,372,117,106,,39,,24.58,27.46
ANDASOL AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,2,69,226,18,106,,11,,18,24
ANDERSON,San Bernardino City Unified,634170,6071,0,5,69,14,13,1,4,,10,10.6
ANDERSON (ALEX) ELEMENTARY,Oak Grove Elementary,627810,6085,,147,282,11,70,10,33,,23,24.04
ANDERSON (LINFORD L.) ELEMENTARY,Dixon Unified,611280,6095,,5,408,5,76,1,14,,14.1,36.1
ANDERSON COMMUNITY DAY,Anderson Union High,602700,6089,1,,1,1,8,,,,1.2,9.17
ANDERSON ELEMENTARY,Westminster,642150,6059,,278,237,1,24,5,3,,24,22.83
ANDERSON ELEMENTARY,Compton Unified,609620,6037,,1,477,27,2,4,15,,19,27.68
ANDERSON HEIGHTS ELEMENTARY,Cascade Union Elementary,607680,6089,18,24,79,9,197,4,12,,14,24.5
ANDERSON HIGH,Anderson Union High,602700,6089,41,28,117,18,349,4,6,,28,20.11
ANDERSON MIDDLE,Cascade Union Elementary,607680,6089,17,25,74,7,209,2,7,,18,18.94
ANDERSON NEW TECHNOLOGY HIGH,Anderson Union High,602700,6089,15,3,17,4,135,,8,,12.25,14.86
ANDERSON VALLEY ELEMENTARY,Anderson Valley Unified,602730,6045,2,1,213,3,57,,,,14,19.71
ANDERSON VALLEY JUNIOR-SENIOR HIGH,Anderson Valley Unified,602730,6045,2,,161,2,50,,2,,16.92,12.83
ANDERSON W. CLARK MAGNET HIGH,Glendale Unified,615240,6037,1,136,84,1,875,,8,,44.6,24.78
ANDRES AND MARIA CARDENAS ELEMENTARY,Los Angeles Unified,622710,6037,,12,476,12,19,1,6,,21,25.05
ANDRES DUARTE ARTS ACADEMY (PK-8),Duarte Unified,611520,6037,,29,242,24,22,2,14,,15,22.2
ANDREW CARNEGIE MIDDLE,Los Angeles Unified,622710,6037,,148,458,207,29,47,19,,40.33,22.51
ANDREW CARNEGIE MIDDLE,San Juan Unified,634620,6067,5,26,155,34,771,5,36,,42.55,24.25
ANDREW JACKSON ELEMENTARY,Selma Unified,636270,6019,1,34,680,3,36,1,2,,30.12,25.13
ANDREW JACKSON ELEMENTARY,Desert Sands Unified,611110,6065,1,5,601,8,17,1,28,,26,25.42
ANDREW JACKSON ELEMENTARY,Santa Ana Unified,635310,6059,4,35,856,1,9,2,4,,33,27.61
ANDREW N. CHRISTENSEN MIDDLE,Livermore Valley Joint Unified,622110,6001,5,76,160,13,320,3,48,,26.67,23.43
ANDREW P. HILL HIGH,East Side Union High,611820,6085,4,734,1061,45,26,4,9,,86.68,21.72
ANDROS KARPEROS,Yuba City Unified,643470,6101,7,527,454,16,235,2,47,,60.41,21.32
ANGEL'S GATE (CONTINUATION),Los Angeles Unified,622710,6037,1,2,63,11,13,,,,4,22.5
ANGELES MESA ELEMENTARY,Los Angeles Unified,622710,6037,,,218,151,15,,10,,19,20.74
ANGELO RODRIGUEZ HIGH,Fairfield-Suisun Unified,613360,6095,11,414,435,295,439,17,163,,71.9,24.67
ANGIER ELEMENTARY,San Diego Unified,634320,6073,2,50,134,152,114,11,78,,21,25.76
ANIMO COLLEGE PREPARATORY ACADEMY,Los Angeles Unified,622710,6037,4,,468,57,,,8,,24,22.38
ANIMO ELLEN OCHOA CHARTER MIDDLE,Los Angeles Unified,622710,6037,1,,425,1,2,,1,,21,20.48
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE,Los Angeles Unified,622710,6037,1,0,96,7,0,0,1,,7,15
ANIMO INGLEWOOD CHARTER HIGH,Inglewood Unified,618390,6037,,,571,69,,,6,,29.01,22.27
ANIMO JACKIE ROBINSON HIGH,Los Angeles Unified,622710,6037,,,593,14,,,11,,30,20.6
ANIMO JAMES B. TAYLOR CHARTER MIDDLE,Los Angeles Unified,622710,6037,2,,409,48,1,,3,,17,27.24
ANIMO JEFFERSON CHARTER MIDDLE,Los Angeles Unified,622710,6037,,,547,2,,,2,,23,23.96
ANIMO LEADERSHIP HIGH,Lennox,621420,6037,,3,635,8,2,,1,,27.01,24.03
ANIMO MAE JEMISON CHARTER MIDDLE,Los Angeles Unified,622710,6037,2,,380,66,,,18,,17,27.41
ANIMO PAT BROWN,Los Angeles Unified,622710,6037,,,605,6,,,1,,27,22.67
ANIMO PHILLIS WHEATLEY CHARTER MIDDLE,Los Angeles Unified,622710,6037,2,,331,249,1,3,7,,32.01,18.53
ANIMO RALPH BUNCHE CHARTER HIGH,Los Angeles Unified,622710,6037,1,,622,1,,,3,,27,23.22
ANIMO SOUTH LOS ANGELES CHARTER,Los Angeles Unified,622710,6037,1,,410,132,1,,47,,26.01,22.72
ANIMO VENICE CHARTER HIGH,Los Angeles Unified,622710,6037,,,555,14,8,,25,,29.01,20.75
ANIMO WATTS COLLEGE PREPARATORY ACADEMY,Los Angeles Unified,622710,6037,1,2,518,48,,,14,,28,20.82
ANIMO WESTERN CHARTER MIDDLE,Los Angeles Unified,622710,6037,2,,474,142,1,1,8,,33,19.03
ANIMO WESTSIDE CHARTER MIDDLE,Los Angeles Unified,622710,6037,5,4,238,117,13,2,54,,20,21.65
ANN B. LEAVENWORTH,Fresno Unified,614550,6019,3,94,679,23,41,1,5,,35,24.17
ANN SOBRATO HIGH,Morgan Hill Unified,625830,6085,8,250,588,44,541,7,46,,60.9,24.37
ANN SOLDO ELEMENTARY,Pajaro Valley Unified,629490,6087,2,11,520,,91,1,2,,27,23.22
ANN STREET ELEMENTARY,Los Angeles Unified,622710,6037,0,1,112,12,0,0,1,,7,18
ANNA A. BORBA FUNDAMENTAL ELEMENTARY,Chino Valley Unified,608460,6071,,9,504,5,22,,3,,23,23.61
ANNA HAUSE ELEMENTARY,Beaumont Unified,604290,6065,15,41,476,60,273,3,27,,32.5,27.54
ANNA KIRCHGATER ELEMENTARY,Elk Grove Unified,612330,6067,7,333,224,114,49,17,52,,32,24.88
ANNA KYLE ELEMENTARY,Fairfield-Suisun Unified,613360,6095,,51,579,70,44,1,33,,29,26.83
ANNA M. GLAZIER ELEMENTARY,Norwalk-La Mirada Unified,627690,6037,1,14,490,14,16,1,8,,19.86,27.39
ANNA MCKENNEY INTERMEDIATE,Marysville Joint Unified,624090,6115,15,38,202,27,243,5,18,,23.6,23.22
ANNA YATES ELEMENTARY,Emery Unified,612630,6001,9,56,105,261,59,7,11,,26,19.54
ANNALEE AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,3,29,183,2,2,3,,10,22.2
ANNANDALE ELEMENTARY,Los Angeles Unified,622710,6037,2,6,193,2,9,0,1,,11,19.36
ANNE DARLING ELEMENTARY,San Jose Unified,634590,6085,2,49,331,4,24,,5,,19.1,21.73
ANNIE E. CHENEY KINDERGARTEN,Coalinga-Huron Unified,609120,6019,1,1,113,3,11,,10,,6,23.17
ANNIE PENNYCOOK ELEMENTARY,Vallejo City Unified,640740,6095,7,101,173,175,70,26,36,,23.2,25.34
ANNIE R. MITCHELL,Visalia Unified,641160,6107,,18,545,11,137,3,33,,27,27.67
ANSEL ADAMS,Lodi Unified,622230,6077,6,407,191,63,31,8,28,,31,23.68
ANSGAR LARSEN ELEMENTARY,Hueneme Elementary,617850,6111,,10,632,3,84,1,4,,31,23.68
ANTELOPE COMMUNITY DAY,Antelope Elementary,602760,6103,0,0,0,0,1,0,0,,1,1
ANTELOPE CREEK ELEMENTARY,Rocklin Unified,600013,6061,9,13,91,17,284,2,68,,21,23.05
ANTELOPE CROSSING MIDDLE,Dry Creek Joint Elementary,611490,6067,5,148,188,75,522,11,103,,45.64,23.05
ANTELOPE ELEMENTARY,Antelope Elementary,602760,6103,7,5,114,4,302,,14,,18,24.78
ANTELOPE ELEMENTARY,Eastern Sierra Unified,611870,6051,14,6,40,2,80,2,2,,7.2,20.28
ANTELOPE ELEMENTARY,Keppel Union Elementary,619440,6037,,3,314,21,22,,2,,16,22.63
ANTELOPE HIGH,Roseville Joint Union High,633630,6067,9,240,362,157,863,25,169,,73.78,24.74
ANTELOPE HILLS ELEMENTARY,Murrieta Valley Unified,600029,6065,,58,273,35,419,2,54,,31.5,26.7
ANTELOPE MEADOWS ELEMENTARY,Dry Creek Joint Elementary,611490,6067,7,75,207,52,431,5,81,,37.25,23.03
ANTELOPE VALLEY HIGH,Antelope Valley Union High,602820,6037,7,15,1086,598,103,2,62,,82.18,22.79
ANTELOPE VALLEY LEARNING ACADEMY,Palmdale Elementary,629580,6037,8,7,798,180,197,,38,,46.45,26.44
ANTELOPE VALLEY ROP,Antelope Valley ROP,600112,6037,0,0,0,0,0,0,0,,,
ANTHONY C. TRAINA ELEMENTARY,Jefferson Elementary,618840,6077,1,195,276,56,171,13,39,,34.7,21.64
ANTHONY G. BACICH ELEMENTARY,Kentfield Elementary,619380,6041,,29,78,5,434,,110,,32.6,20.12
ANTHONY SPANGLER ELEMENTARY,Milpitas Unified,624500,6085,4,384,120,17,39,4,19,,25.87,22.69
ANTHONY W. OCHOA MIDDLE,Hayward Unified,616740,6001,3,132,343,47,25,19,14,,27.4,21.28
ANTIOCH CHARTER ACADEMY,Antioch Unified,602850,6013,,35,61,20,73,2,5,,9.5,20.63
ANTIOCH CHARTER ACADEMY II,Antioch Unified,602850,6013,2,14,76,18,75,3,19,,9.5,21.79
ANTIOCH HIGH,Antioch Unified,602850,6013,8,98,980,443,335,26,57,,80.53,24.18
ANTIOCH MIDDLE,Antioch Unified,602850,6013,7,27,444,162,57,11,34,,34,21.82
ANTONIO DEL BUONO ELEMENTARY,Gilroy Unified,615180,6085,4,25,437,8,29,2,15,,22,23.64
ANZA ELEMENTARY,Cajon Valley Union,606810,6073,,7,100,30,393,3,36,,24,23.71
ANZA ELEMENTARY,Torrance Unified,639420,6037,1,232,99,15,200,2,84,,24,26.38
ANZAR HIGH,Aromas/San Juan Unified,691136,6069,1,4,235,3,91,,5,,16.4,20.67
APEX ACADEMY,Los Angeles Unified,622710,6037,1,7,359,8,10,1,3,,25.1,15.5
APOLLO HIGH,East Side Union High,611820,6085,,8,144,1,,1,1,,8,19.38
APOLLO HIGH,Simi Valley Unified,636840,6111,1,4,107,1,77,1,2,,18.3,10.55
APPERSON STREET ELEMENTARY,Los Angeles Unified,622710,6037,1,11,165,9,196,1,23,,18,22.56
APPLE ACADEMY CHARTER PUBLIC,Los Angeles Unified,622710,6037,1,,129,148,2,1,3,,14,20.29
APPLE BLOSSOM,Twin Hills Union Elementary,640230,6097,4,5,81,1,278,1,57,,19.1,22.36
APPLE VALLEY HIGH,Apple Valley Unified,600017,6071,15,66,950,186,945,12,27,,92.52,23.79
APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,Apple Valley Unified,600017,6071,,,,,,,,,,
APPLIED TECHNOLOGY CENTER,Montebello Unified,625470,6037,1,10,527,4,27,,4,,28.59,20.04
APRICOT VALLEY ELEMENTARY,Patterson Joint Unified,630030,6099,3,58,419,78,123,24,57,,,
APRIL LANE ELEMENTARY,Yuba City Unified,643470,6101,1,65,256,22,127,5,30,,22,23
APTITUD COMMUNITY ACADEMY AT GOSS,Alum Rock Union Elementary,602310,6085,,40,412,6,8,2,1,,22.5,20.84
APTOS HIGH,Pajaro Valley Unified,629490,6087,6,57,593,17,773,4,8,,53.08,27.47
APTOS JUNIOR HIGH,Pajaro Valley Unified,629490,6087,1,28,282,7,366,2,7,,23,30.13
APTOS MIDDLE,San Francisco Unified,634410,6075,2,440,226,85,136,16,82,,51.75,19.07
ARAGON AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,1,4,314,2,13,1,4,,17,19.94
ARAGON HIGH,San Mateo Union High,634980,6081,7,461,439,20,416,51,161,,70.97,21.91
ARARAT CHARTER,Los Angeles Unified,622710,6037,,,37,2,298,,,,13,25.92
ARBOGA ELEMENTARY,Marysville Joint Unified,624090,6115,10,42,147,15,241,,24,,18.8,25.48
ARBOLITA ELEMENTARY,La Habra City Elementary,620190,6059,,4,347,2,19,,3,,14,26.79
ARBUCKLE ALTERNATIVE HIGH (CONTINUATION),Pierce Joint Unified,630360,6011,0,0,9,0,3,0,0,,0.72,16.67
ARBUCKLE ELEMENTARY,Pierce Joint Unified,630360,6011,,5,483,7,117,1,13,,26.5,23.62
ARCADE FUNDAMENTAL MIDDLE,San Juan Unified,634620,6067,3,27,134,38,234,2,13,,19.6,23.01
ARCADIA HIGH,Arcadia Unified,602970,6037,6,2303,484,71,470,4,47,,132.06,25.63
ARCATA ELEMENTARY,Arcata Elementary,603000,6023,15,8,60,7,177,1,38,,15,20.4
ARCATA HIGH,Northern Humboldt Union High,603030,6023,18,20,99,10,612,3,95,,42.66,20.09
ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER HIGH (ACE),Oxnard Union High,629270,6111,,8,88,11,79,1,11,,10.65,18.59
ARCOHE ELEMENTARY,Arcohe Union Elementary,603060,6067,5,7,204,12,198,2,23,,20,22.55
ARDEN MIDDLE,San Juan Unified,634620,6067,7,49,209,63,587,10,16,,37.11,25.36
ARDENWOOD ELEMENTARY,Fremont Unified,614400,6001,,789,43,12,68,1,34,,35,27.06
ARDIS G. EGAN JUNIOR HIGH,Los Altos Elementary,622650,6085,2,226,64,3,304,1,58,,32.68,20.13
ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,Santa Maria-Bonita,605580,6083,2,2,278,,12,,,,12.5,23.52
ARELLANES JUNIOR HIGH,Santa Maria-Bonita,605580,6083,,18,520,4,12,1,2,,29.15,19.11
ARENA ELEMENTARY,Arena Union Elementary,603090,6045,24,,137,,81,,12,,15.89,15.98
ARENA HIGH (CONTINUATION),El Segundo Unified,612210,6037,1,1,9,2,20,,5,,2,19
ARGONAUT ELEMENTARY,Saratoga Union Elementary,635910,6085,,289,10,,47,,33,,18,21.06
ARGONAUT HIGH,Amador County Unified,602450,6005,9,9,116,3,326,4,37,,20.42,24.68
ARGONNE ELEMENTARY,San Francisco Unified,634410,6075,,151,50,6,152,,74,,18.5,23.41
ARGUS HIGH (CONTINUATION),Ceres Unified,608130,6099,6,3,124,4,22,0,1,,7.46,21.45
ARISE HIGH,Oakland Unified,628050,6001,,11,246,6,1,,10,,14.45,18.96
ARIZONA MIDDLE,Alvord Unified,602430,6065,1,36,834,45,109,6,5,,39.35,26.33
ARK INDEPENDENT STUDIES,Santa Cruz City High,635600,6087,1,1,25,1,30,,2,,2.75,21.82
ARLANZA ELEMENTARY,Alvord Unified,602430,6065,,1,527,7,10,1,4,,22.2,24.77
ARLENE HEIN ELEMENTARY,Elk Grove Unified,612330,6067,4,573,177,89,220,19,128,,49.87,24.26
ARLETA HIGH,Los Angeles Unified,622710,6037,1,25,1356,12,36,2,2,,61,23.51
ARLIE F. HUTCHINSON MIDDLE,Norwalk-La Mirada Unified,627690,6037,,57,468,19,136,4,15,,23,30.39
ARLINGTON ELEMENTARY,Torrance Unified,639420,6037,,256,197,5,55,1,71,,22.1,26.47
ARLINGTON HEIGHTS ELEMENTARY,Los Angeles Unified,622710,6037,,5,424,49,5,,1,,22.87,21.16
ARLINGTON HEIGHTS ELEMENTARY,San Juan Unified,634620,6067,2,8,70,14,208,3,20,,13,25
ARLINGTON HIGH,Riverside Unified,633150,6065,5,79,1363,115,347,10,36,,81.79,23.9
ARMA J. SHULL ELEMENTARY,Bonita Unified,605610,6037,3,77,285,15,189,,52,,22.7,27.36
ARMADA ELEMENTARY,Moreno Valley Unified,625800,6065,,5,616,115,15,5,17,,30,25.77
ARMIJO HIGH,Fairfield-Suisun Unified,613360,6095,19,377,1005,349,351,20,157,,95.52,23.85
ARMINTA STREET ELEMENTARY,Los Angeles Unified,622710,6037,,7,421,2,33,,1,,22,21.09
ARMONA ELEMENTARY,Armona Union Elementary,603180,6031,4,2,471,10,37,,6,,25.5,20.78
ARMSTRONG ELEMENTARY,Pomona Unified,631320,6037,,60,230,29,42,1,21,,15,25.53
ARNOLD ADREANI ELEMENTARY,Elk Grove Unified,612330,6067,5,312,142,43,217,8,92,,33,24.82
ARNOLD O. BECKMAN HIGH,Tustin Unified,640150,6059,7,1159,663,61,878,8,103,,104.08,27.66
AROMAS,Aromas/San Juan Unified,691136,6053,,7,277,,115,,13,,17,24.24
AROVISTA ELEMENTARY,Brea-Olinda Unified,605880,6059,,27,218,9,200,3,1,,17,26.94
ARROW HIGH (CONTINUATION),Charter Oak Unified,608190,6037,2,2,52,2,14,0,1,,5.6,13.04
ARROWHEAD ELEMENTARY,San Bernardino City Unified,634170,6071,4,1,198,65,18,,29,,12,26.25
ARROWVIEW MIDDLE,San Bernardino City Unified,634170,6071,3,11,916,102,34,5,40,,39.01,28.48
ARROYO,San Carlos Elementary,634290,6081,,30,46,2,220,,36,,16.25,20.55
